i,locat,count
181,7,100
187,18,100
189,23,100
190,2,100
208,10,100
216,9,100
218,29,100
219,14,100
220,5,100
196,7,99
202,25,99
205,14,99
207,17,99
210,5,99
218,2,99
181,11,98
183,14,98
204,25,98
186,30,97
197,20,97
202,6,97
202,19,97
206,31,97
211,8,97
219,4,97
220,17,97
184,20,96
185,2,96
190,28,96
193,30,96
195,31,96
196,2,96
199,16,96
222,16,96
223,4,96
211,24,95
223,9,95
182,21,94
195,13,94
197,27,94
197,28,94
217,3,94
220,19,94
222,15,94
223,13,94
202,8,94
222,4,94
196,25,93
197,3,93
198,23,93
217,15,93
220,22,93
214,6,92
220,9,92
198,12,92
213,10,92
207,29,91
211,1,91
214,22,91
218,26,91
221,8,91
191,9,90
221,17,90
187,22,90
187,9,89
190,27,89
203,1,89
211,18,89
214,19,89
180,30,89
181,21,89
223,30,89
180,3,88
189,18,88
192,17,88
195,28,88
208,4,88
209,16,88
217,11,88
218,1,88
196,26,88
201,6,88
183,7,87
185,24,87
190,23,87
201,8,87
209,20,87
214,26,87
221,28,87
188,0,87
189,25,87
191,23,87
186,21,86
198,21,86
217,10,86
220,15,86
184,25,86
205,6,86
200,12,85
206,8,85
214,7,85
181,1,85
200,4,85
210,6,84
215,18,84
220,2,83
213,13,83
183,17,82
184,12,82
197,12,82
199,15,82
221,22,82
199,17,82
218,7,82
215,20,82
187,7,81
190,20,81
190,31,81
194,0,81
213,0,81
215,12,81
216,18,81
223,20,81
221,10,81
222,24,81
186,26,80
190,6,80
200,8,80
216,26,80
221,7,80
208,25,80
180,29,79
183,1,79
214,28,79
217,14,79
217,24,79
218,3,79
218,4,79
222,10,79
188,17,79
188,21,79
193,6,79
221,24,79
222,25,79
181,25,78
182,19,78
206,3,78
217,8,78
206,9,78
210,0,78
186,22,77
203,29,77
205,0,77
207,8,77
216,23,77
222,12,77
180,4,76
183,18,76
204,9,76
205,17,76
211,21,76
209,14,76
212,31,76
183,16,75
198,28,75
201,13,75
201,19,75
211,13,75
208,12,75
180,25,74
185,5,74
187,20,74
188,26,74
193,19,74
199,31,74
200,16,74
209,21,74
212,27,74
221,1,74
182,20,74
204,24,74
205,24,74
207,31,74
203,9,73
212,7,73
218,13,73
185,17,73
222,31,73
183,23,72
184,3,72
187,2,72
203,3,72
206,22,72
208,1,72
187,25,72
220,27,72
205,2,71
214,17,71
219,9,71
223,18,71
183,28,71
201,12,71
181,6,70
183,26,70
196,18,70
212,2,70
185,12,70
197,29,70
215,5,70
217,16,70
195,8,70
181,27,69
187,13,69
188,15,69
196,21,69
209,29,69
213,6,69
198,15,69
206,27,69
218,6,69
198,16,68
199,14,68
204,18,68
208,5,68
200,20,67
207,4,67
188,18,67
210,13,67
192,10,66
193,8,66
193,16,66
197,22,66
208,0,66
213,11,66
220,1,66
183,29,65
188,5,65
189,11,65
205,13,65
213,15,65
216,17,65
196,19,65
182,5,64
194,15,64
215,16,64
187,27,63
205,29,63
208,26,63
210,31,63
211,15,63
193,1,63
194,7,63
196,1,63
185,31,62
186,18,62
191,20,62
213,19,62
190,1,62
209,8,62
213,23,62
180,18,61
205,8,61
212,30,61
214,11,61
217,1,61
219,26,61
221,9,61
191,16,61
215,19,61
184,15,60
184,19,60
184,27,60
194,4,60
202,26,60
206,18,60
208,30,60
216,0,60
219,17,60
184,21,60
195,27,60
212,19,60
181,29,59
186,25,59
200,31,59
207,30,59
216,11,59
190,19,59
193,17,59
194,12,59
204,5,59
197,15,59
183,12,59
184,10,59
192,23,58
196,5,58
205,27,58
200,6,58
212,15,58
189,20,58
186,24,57
191,11,57
201,18,57
203,31,57
215,4,57
221,5,57
193,21,57
187,0,57
181,12,56
187,14,56
194,10,56
200,2,56
221,15,56
192,21,56
196,23,56
185,9,56
200,26,56
205,23,55
206,7,55
198,11,55
191,17,55
189,16,54
200,1,54
210,30,54
217,5,54
192,27,54
220,20,54
187,3,54
213,21,54
192,12,53
208,3,53
208,13,53
209,0,53
221,4,53
184,22,52
185,19,52
198,2,52
200,3,52
182,17,52
188,13,52
209,25,52
210,21,52
223,6,52
216,4,52
196,14,52
180,11,51
188,29,51
194,11,51
204,1,51
206,13,51
208,22,51
216,29,51
200,25,51
220,4,51
194,8,51
216,13,51
185,25,50
188,12,50
203,20,50
213,31,50
215,0,50
219,24,50
183,8,50
191,7,50
194,24,50
207,15,50
182,0,50
193,2,49
203,2,49
205,4,49
211,30,49
218,16,49
211,26,49
217,7,49
181,20,48
207,14,48
210,8,48
219,25,48
188,31,48
189,15,48
198,14,48
199,28,48
202,5,48
209,18,48
210,9,48
214,12,48
192,8,47
194,16,47
194,30,47
200,0,47
202,9,47
216,7,47
183,6,47
186,7,47
204,6,47
213,4,47
223,5,47
215,14,47
182,31,46
192,3,46
194,13,46
209,13,46
223,14,46
188,7,46
203,16,46
214,15,46
206,15,46
188,28,45
197,4,45
211,28,45
218,0,45
221,12,45
223,16,45
184,16,45
188,20,45
201,21,45
208,21,45
214,10,45
193,18,45
181,26,44
209,2,44
211,2,44
183,25,44
183,30,44
185,4,44
197,9,44
204,15,44
207,7,44
222,9,44
189,31,43
199,7,43
202,28,43
207,23,43
210,20,43
220,26,43
181,13,43
187,17,43
195,21,43
200,7,43
202,27,43
203,26,43
210,22,43
204,0,43
195,9,43
194,18,42
206,11,42
209,4,42
210,2,42
183,19,42
193,23,42
200,10,42
207,5,42
211,23,42
221,18,42
185,3,42
195,10,42
204,13,42
188,10,41
189,5,41
190,4,41
205,28,41
216,20,41
218,11,41
219,0,41
180,2,41
184,6,41
187,11,41
205,3,41
184,26,40
191,30,40
193,9,40
202,0,40
209,28,40
180,0,40
186,6,40
188,24,40
195,1,40
201,23,40
190,5,40
189,4,40
195,23,40
200,24,40
206,23,40
186,15,40
203,14,40
220,14,39
222,13,39
188,3,39
206,17,39
211,14,39
214,18,39
186,3,39
180,31,39
219,2,39
183,27,38
210,15,38
216,12,38
216,24,38
218,25,38
195,25,38
196,17,38
206,2,38
215,3,38
220,24,38
195,12,38
181,10,38
187,23,38
191,29,38
217,27,38
213,29,38
207,11,38
181,0,37
183,11,37
198,26,37
201,4,37
208,8,37
212,3,37
217,22,37
189,26,37
193,27,37
202,2,37
215,8,37
219,10,37
189,1,37
186,27,36
192,18,36
195,14,36
199,10,36
199,25,36
203,12,36
211,3,36
191,21,36
182,25,36
200,18,36
203,24,36
219,3,36
197,13,36
210,26,35
216,28,35
192,14,35
194,17,35
190,3,35
197,1,35
202,20,35
186,8,34
209,17,34
215,26,34
195,2,34
205,19,34
221,16,34
181,24,34
204,8,34
214,27,34
190,7,34
220,30,34
182,8,33
182,9,33
202,23,33
