i,locat,count
0,2,100
0,15,100
1,0,100
1,29,100
1,30,100
2,10,100
2,12,100
3,2,100
3,7,100
3,14,100
3,16,100
3,17,100
3,21,100
3,28,100
4,31,100
5,4,100
5,9,100
5,28,100
5,29,100
6,2,100
6,5,100
6,27,100
7,4,100
7,8,100
7,16,100
7,17,100
7,22,100
7,27,100
8,10,100
8,13,100
8,26,100
9,9,100
9,12,100
10,3,100
10,4,100
10,9,100
11,11,100
11,17,100
12,20,100
13,11,100
13,21,100
13,22,100
13,25,100
13,29,100
14,3,100
14,9,100
14,13,100
14,18,100
15,0,100
15,1,100
15,8,100
15,20,100
16,6,100
16,8,100
16,18,100
16,25,100
16,27,100
16,28,100
17,17,100
17,22,100
18,4,100
18,8,100
19,3,100
19,10,100
19,18,100
19,29,100
20,1,100
21,13,100
22,0,100
22,12,100
22,29,100
23,10,100
23,14,100
23,23,100
23,30,100
24,7,100
24,8,100
24,9,100
25,22,100
25,24,100
25,25,100
26,15,100
26,21,100
0,9,99
4,10,99
5,26,99
10,15,99
10,24,99
14,14,99
15,11,99
15,23,99
16,11,99
16,12,99
18,29,99
19,4,99
21,25,99
23,4,99
23,17,99
26,7,99
26,8,99
16,23,99
8,14,98
13,3,98
14,6,98
19,17,98
20,22,98
20,25,98
21,18,98
22,22,98
22,31,98
23,11,98
24,10,98
8,31,98
16,13,98
25,11,98
26,3,98
0,8,97
2,6,97
4,0,97
8,11,97
16,26,97
21,21,97
15,28,97
17,29,97
20,21,97
12,21,97
8,19,97
16,30,97
1,22,96
21,23,96
24,24,95
24,27,95
1,7,94
11,0,94
6,16,93
12,10,93
13,18,93
9,31,92
21,26,92
22,27,92
25,1,92
8,3,91
8,24,91
5,21,90
2,5,89
7,7,89
20,18,89
13,30,89
12,25,88
17,7,88
8,30,83
20,9,83
6,25,82
12,22,82
14,1,79
2,22,79
25,19,79
2,4,76
8,1,76
12,27,74
6,9,73
21,27,73
1,16,72
19,23,71
7,26,71
14,16,71
24,30,70
11,16,68
6,15,68
26,1,67
24,18,67
9,2,66
6,12,64
26,9,63
14,12,63
13,0,62
23,31,59
2,2,58
7,12,58
12,8,58
18,0,58
2,1,57
6,4,56
17,13,55
8,12,54
17,11,54
24,11,53
1,6,52
10,11,51
12,15,51
4,29,49
18,25,49
1,13,49
23,6,46
24,6,42
6,17,42
12,29,42
8,28,41
12,4,40
25,7,40
22,23,40
24,17,39
12,3,39
12,31,39
5,13,38
13,4,37
20,31,37
21,14,36
24,3,34
6,30,34
26,2,30
4,4,30
24,1,30
6,22,28
8,7,28
23,22,28
13,1,27
19,26,27
26,12,27
20,4,26
20,8,26
8,5,26
12,18,25
13,10,24
26,19,24
23,13,24
0,19,24
2,7,23
22,24,23
11,8,21
26,20,20
22,8,20
22,6,19
6,10,19
15,10,18
21,16,18
24,21,18
7,6,17
22,26,17
11,3,17
3,23,16
21,24,16
25,15,16
16,24,15
7,13,15
10,7,15
7,10,15
2,18,14
0,0,13
18,20,13
3,26,13
5,15,12
22,14,12
21,22,11
20,26,10
9,11,10
9,28,9
18,19,9
22,9,9
6,28,9
22,28,8
17,27,8
1,26,8
21,0,7
22,19,7
4,1,7
25,3,7
9,23,7
0,6,7
20,11,7
6,7,7
14,19,7
16,7,6
17,16,6
19,9,6
25,23,6
3,29,6
20,15,6
20,29,6
12,26,5
8,4,5
2,15,5
22,25,5
19,12,5
23,12,5
1,20,5
18,18,5
0,17,4
20,24,4
2,24,4
8,20,4
21,3,4
5,30,4
9,1,4
23,8,4
26,5,4
0,29,3
12,14,3
13,27,3
15,6,3
3,3,3
4,16,3
5,7,3
15,30,3
10,20,3
6,13,3
25,9,3
1,3,3
1,27,3
3,10,3
3,13,3
19,24,3
6,23,3
12,30,3
17,10,3
20,13,3
5,18,3
14,7,3
1,5,2
15,15,2
20,27,2
24,0,2
18,2,2
23,15,2
9,5,2
9,26,2
17,9,2
17,24,2
8,23,2
0,7,2
3,1,2
3,4,2
3,6,2
11,6,2
16,1,2
2,13,2
3,24,2
25,6,2
1,21,2
4,6,2
4,21,2
5,5,2
10,0,2
12,0,2
15,31,2
16,3,2
16,31,2
17,31,2
20,16,2
20,19,2
22,18,2
24,13,2
25,20,2
4,25,2
7,14,2
10,12,2
17,8,2
23,0,2
24,20,2
0,1,1
3,20,1
5,10,1
17,23,1
25,29,1
9,8,1
12,11,1
15,21,1
8,17,1
8,22,1
10,31,1
11,21,1
20,5,1
24,19,1
0,26,1
6,26,1
7,0,1
11,25,1
12,17,1
13,31,1
15,22,1
21,5,1
25,5,1
1,2,1
1,12,1
2,26,1
5,27,1
10,27,1
18,15,1
18,26,1
20,3,1
21,8,1
23,27,1
6,14,1
15,16,1
17,5,1
0,16,1
0,27,1
0,30,1
0,31,1
2,11,1
2,20,1
2,23,1
4,2,1
4,19,1
5,8,1
5,31,1
6,19,1
6,20,1
7,5,1
9,4,1
9,22,1
10,6,1
11,2,1
11,4,1
11,18,1
12,2,1
13,6,1
14,2,1
15,2,1
15,17,1
17,30,1
18,12,1
18,23,1
19,2,1
19,28,1
23,3,1
26,18,1
26,24,1
0,13,1
1,8,1
1,19,1
4,11,1
4,28,1
10,18,1
11,10,1
11,31,1
12,24,1
13,15,1
13,28,1
14,11,1
15,3,1
16,21,1
16,22,1
18,13,1
18,17,1
18,22,1
19,1,1
20,7,1
22,5,1
22,20,1
25,28,1
25,31,1
26,10,1
11,23,1
22,10,1
