i,locat,count
1,29,100
2,10,100
3,2,100
3,14,100
3,17,100
3,28,100
5,26,100
6,2,100
6,5,100
8,11,100
9,12,100
11,17,100
13,25,100
15,8,100
17,17,100
17,22,100
18,4,100
18,8,100
19,10,100
23,10,100
23,17,100
23,30,100
24,6,100
25,22,100
26,3,100
26,8,100
10,9,99
19,17,99
2,5,98
4,0,98
13,29,98
15,23,98
19,18,98
20,1,97
21,14,97
6,9,96
24,24,96
7,8,95
8,1,95
1,30,94
0,15,92
13,4,91
10,15,91
15,0,91
26,15,91
2,18,90
24,27,90
0,2,90
7,17,90
8,10,90
13,11,90
21,13,90
24,11,90
5,9,89
5,4,89
5,29,89
7,16,89
9,9,89
10,24,89
15,1,89
19,29,89
24,7,89
24,9,89
16,27,88
8,13,88
8,26,88
12,20,88
13,3,88
13,22,88
14,13,88
16,8,88
16,18,88
16,28,88
21,25,88
23,4,88
2,12,87
4,31,87
14,18,87
19,3,87
19,4,87
22,12,87
23,14,87
2,2,86
3,7,86
3,21,86
6,16,86
7,7,86
11,11,86
11,0,85
0,1,85
4,10,85
14,6,85
14,14,85
16,26,85
19,23,85
22,31,85
23,23,85
2,7,84
9,2,84
5,28,84
8,12,84
21,27,84
17,29,84
21,18,83
24,0,82
25,11,82
8,3,82
15,15,81
7,26,81
7,27,81
12,25,81
26,1,81
8,24,80
17,16,80
26,21,80
14,3,80
12,21,79
22,0,79
24,10,77
2,6,76
10,4,76
5,21,75
25,25,75
21,16,74
5,13,73
18,0,73
9,23,73
10,3,73
16,6,73
20,22,72
22,29,71
25,24,71
4,6,70
21,0,70
3,16,70
7,22,69
14,9,69
0,0,68
19,26,68
10,11,68
17,13,68
20,24,68
20,18,67
21,23,67
4,1,66
17,8,66
26,19,66
26,22,65
14,1,64
22,19,64
20,9,63
25,7,63
13,21,62
24,8,62
26,9,61
20,4,60
0,19,60
6,25,60
23,6,60
1,0,59
12,18,59
14,19,59
7,4,58
18,29,58
4,4,58
1,16,57
13,30,57
25,1,57
6,22,56
22,22,56
20,21,56
12,15,55
19,14,55
11,23,55
