gene,avg_fpkm,class
Seita.1G000100,4.92600422222,1
Seita.1G000600,3.06504841667,1
Seita.1G004600,27.6030508333,1
Seita.1G005400,2.04609811111,1
Seita.1G005500,30.7679805556,1
Seita.1G005600,1.81236122222,1
Seita.1G007000,2.84112402778,1
Seita.1G007800,29.9381811111,1
Seita.1G011800,16.0291038889,1
Seita.1G012700,16.6045472222,1
Seita.1G013500,3.98618211111,1
Seita.1G014800,8.38359333333,1
Seita.1G015100,39.9521666667,1
Seita.1G015300,5.74258844444,1
Seita.1G015400,8.88252708333,1
Seita.1G016600,1.14211277778,1
Seita.1G016700,1.33711638611,1
Seita.1G019200,1.09594653315,1
Seita.1G019400,2.84033661111,1
Seita.1G019800,1.59840138889,1
Seita.1G021100,7.54682277778,1
Seita.1G022500,47.4488875,1
Seita.1G024300,10.7089433333,1
Seita.1G025800,4.71106111111,1
Seita.1G027000,3.98034830556,1
Seita.1G027100,2.10915733333,1
Seita.1G028700,28.3415480556,1
Seita.1G028800,9.36471930556,1
Seita.1G028900,9.03083083333,1
Seita.1G029900,9.97290388889,1
Seita.1G030100,60.9164858333,1
Seita.1G031100,12.5134016667,1
Seita.1G031400,3.44828316667,1
Seita.1G034200,15.5982583333,1
Seita.1G034900,5.74326697222,1
Seita.1G035400,46.3935269444,1
Seita.1G035500,1.73407633333,1
Seita.1G036400,7.08540388889,1
Seita.1G036500,3.35187788889,1
Seita.1G037000,1.11829624444,1
Seita.1G040800,9.65157416667,1
Seita.1G040800,9.65157416667,1
Seita.1G040900,144.392177778,1
Seita.1G041700,5.82895388889,1
Seita.1G041900,14.5536044444,1
Seita.1G042000,6.66632333333,1
Seita.1G043700,3.33222222222,1
Seita.1G043800,20.8122594444,1
Seita.1G044500,57.4748511111,1
Seita.1G045400,1.16900175,1
Seita.1G053500,2.29660508333,1
Seita.1G054400,3.47963413889,1
Seita.1G056200,1.37865063889,1
Seita.1G056300,1.74814663889,1
Seita.1G057100,8.95768194444,1
Seita.1G057300,24.2182361111,1
Seita.1G058500,1.00377352778,1
Seita.1G060100,2.22921455556,1
Seita.1G062100,104.375426667,1
Seita.1G062400,6.41810055556,1
Seita.1G063500,5.65793638889,1
Seita.1G064100,9.50087277778,1
Seita.1G064600,3.20230763889,1
Seita.1G065200,4.21439302778,1
Seita.1G065800,29.5926355556,1
Seita.1G067400,3.55796327778,1
Seita.1G068100,4.71629686111,1
Seita.1G068700,2.91615883333,1
Seita.1G069700,25.1610241667,1
Seita.1G070800,1.70662308333,1
Seita.1G071700,2.03385738889,1
Seita.1G075600,4.145609,1
Seita.1G076400,1.79716730556,1
Seita.1G076700,2.76213216667,1
Seita.1G077100,6.54609361111,1
Seita.1G081400,10.6662147222,1
Seita.1G084800,1.60396130556,1
Seita.1G086700,2.23536075,1
Seita.1G087200,7.38626805556,1
Seita.1G088600,1.11178433333,1
Seita.1G092800,3.37769380556,1
Seita.1G093200,12.8117683333,1
Seita.1G095600,14.0814963889,1
Seita.1G097800,18.8736855556,1
Seita.1G099500,8.59112738889,1
Seita.1G101200,55.99985,1
Seita.1G102000,3.54309269444,1
Seita.1G106200,13.7183138889,1
Seita.1G106500,7.41060444444,1
Seita.1G116400,38.7590416667,1
Seita.1G117200,9.35860472222,1
Seita.1G119700,1.63355272222,1
Seita.1G126200,1.08460163889,1
Seita.1G126800,16.4353805556,1
